"signature_hash_4","num_signatures","signatures"
"0x138721d9",2,"{""MintedNFT(address,string,uint256)"",verifiedLength()}"
"0x13b14ebb",2,"{canChangeState(uint256),""rebalanceFToken(address,uint256)""}"
"0x13b1dc42",2,"{AlreadyDistributing(),maxMiningAmount()}"
"0x13b3c290",2,"{forceFinish(bool),_hxzrxpyzsud(address)}"
"0x13c9a98c",2,"{AIDOGECLAIM(),MaxMintPerAddrChanged(uint256)}"
"0x13d79a0b",2,"{MoooZ1089603480(),""settle(address[],uint256[],(uint256,uint256,address,uint256,uint256,uint32,bytes32,uint256,uint256,uint256,bytes)[],(address,uint256,bytes)[][3])""}"
"0x1435e397",2,"{""setAllocation(address,uint256,uint8)"",setFirstCap(uint256)}"
"0x145b4f1e",2,"{getTotalUnclaimedRewardsByAddress(address),setV2RouterAddress(address)}"
"0x1491f6fe",2,"{""pendingSynapse(uint256,address)"",""wav3s__RewardsWithdrawn(address,uint256)""}"
"0x14e49bb6",2,"{""AuctionWon(uint256,address)"",ContractOwner(address)}"
"0x14f29f88",2,"{""__Base_init(address,address)"",RewardZeroAmount()}"
"0x15fcb6d9",2,"{""getRingLevelUpBloodCost(uint16,uint256,uint256)"",""investByAgent(address,uint256)""}"
"0x160f50f7",2,"{PIP_AmountLessThanTax(),""setProjectToken(string,address)""}"
"0x1631f631",2,"{""CalcotadaCompanyWalletUpdated(address,address)"",""updateUniV3SwapPath(address,address,address,address[])""}"
"0x169272ef",2,"{gameid(),setMaxStakes(uint256)}"
"0x16dbc31e",2,"{""SignUp(uint256,string[])"",thisChainMultiplier()}"
"0x16f3a12d",2,"{blackListUser(address),InvalidPointAddress()}"
"0x16f65ade",2,"{buyTicketETH(uint256),""userSkills(address,uint256)""}"
"0x17189f2f",2,"{""SetCollateralState(address,address,uint8)"",TaxSwapThresholdUpdated(uint256)}"
"0x1756150b",2,"{dalle(),rxevxlolapeavv(address)}"
"0x17915e8d",2,"{getCluster(address),getTotalFeeBps()}"
"0x17bbddf7",2,"{""mintShards(address,uint256)"",""PlayerKilled(uint256,address)""}"
"0x17c5bff9",2,"{""batchSend(address[],address[],uint256[])"",disableSalesWithETH()}"
"0x17dbf25b",2,"{setQebTokenAddress(address),""transferOutAll(address,address)""}"
"0x17f6660a",2,"{depositMAL(uint256),""MaxWithdrawSet(address,uint256)""}"
"0x17fcfe22",2,"{""setForSale(uint256,uint256)"",""WagerOpened(address,(uint256,address,bytes32,uint256,uint256,uint256,uint256,bool,bool,uint256[]))""}"
"0x18160ddd",2,"{_$___$$$$$$$________$_$$___$$__(),totalSupply()}"
"0x18175f16",2,"{""rate(uint256,address,int256)"",setBotRugSense(uint256)}"
"0x18ce6427",2,"{clearstuckbalance(),viewRacersMaxWalletSnapshot(address)}"
"0x18d14f09",2,"{addressesByCouponCode(string),""setBribeManagerContractForSubDao(string,address)""}"
"0x18e4c2ea",2,"{""GameComplete(address,address,bytes32)"",getStakeIdsByOwner(address)}"
"0x19387d37",2,"{NFTSummonEnabled(),THE_REACH()}"
"0x197406ba",2,"{""hammerPlayer(address,uint256,bool)"",InvalidCreatorFee()}"
"0x19af6f48",2,"{crowdsaleTokenSold(),syncTokenURIWithTier(uint256)}"
"0x19d1a6fb",2,"{getAllMeta(),P2_PERIOD()}"
"0x1a2d5428",2,"{""lazyBatchMint(uint256[],bytes[])"",""listCumulFee(int24,int24)""}"
"0x1a6ef53d",2,"{""pickleUpdateMetadata(uint256,bytes32)"",reserveDUCKS(uint256)}"
"0x1a725012",2,"{AddStable(address),manageFunctionsContract(address)}"
"0x1aa73bd4",2,"{Level2TradeHistoryAmountETHFeeSet(uint256),""rollCharacterSheet(address,string)""}"
"0x1b0c7182",2,"{createJETSKITrade(),""setWhitelistStatus(address,uint8,bytes)""}"
"0x1b3787b2",2,"{SpenderUnwhitelisted(address),unregisterDeployment(address)}"
"0x1b8689b6",2,"{""Activities(address,uint256)"",getInvestorTokensPurchasesLength(address)}"
"0x1bed7218",2,"{""autoMintWithURI(address,string)"",""putBulidingInBackpack(uint256,uint256)""}"
"0x1bf226ac",2,"{pointers(bytes32),setWinningDigits(uint8[])}"
"0x1c17985e",2,"{_setchampfee(uint256),TooManySupportedTokens()}"
"0x1d0359d1",2,"{NFT_ALLOWLIST_AUTHORIZED_ROLE(),NFTNotMintable(address)}"
"0x1d31b3e7",2,"{ELEMENTS(),""mintByBurningERC20(address,uint256)""}"
"0x1d9fa56a",2,"{burnNusd(uint256),ContractUpdated(uint256)}"
"0x1e87f20e",2,"{EncodedTokenToLender(bytes),getFulfillmentDurationByRequestID(uint256)}"
"0x1ea356d9",2,"{""CreateOrUpdateEvent(uint16,string,string,string,string,uint32,uint256)"",""HashObjectSet(address,address,uint256[],uint256[],uint256[])""}"
"0x1f3bd6d9",2,"{startBetaWave(),streamerSetter()}"
"0x1f5dbd91",2,"{InsufficientFeePayment(uint256),""isQualified(address,uint16,address[])""}"
"0x2025e52c",2,"{createSaleTokensVault(),mintWithERC721(uint256)}"
"0x20466fdf",2,"{""purchaseLot((string,uint256,uint256,uint256,string,string))"",""recoverNFT(address,uint256,bool)""}"
"0x207b08b2",2,"{""getResourceParams(uint256,int256)"",""RPLTreasuryContractPayment(string,address,uint256,uint256)""}"
"0x20a5d901",2,"{aUsdcAccessDenied(),contract_GasPercent_set(uint256)}"
